#,(,),*,+,-,/,=,goto,id,E,F,G,S,T
,,,,,,,,s_22,s_3,,,2,1,
acc,,,,,,,,,,,,,,
,,,,,,,s_4,,,,,,,
,,,,,,,r_10,,,,,,,
,s_8,,,,,,,,s_9,5,7,,,6
r_1,,,,s_10,s_11,,,,,,,,,
r_4,,r_4,s_12,r_4,r_4,s_13,,,,,,,,
r_7,,r_7,r_7,r_7,r_7,r_7,,,,,,,,
,s_8,,,,,,,,s_9,14,7,,,6
r_9,,r_9,r_9,r_9,r_9,r_9,,,,,,,,
,s_8,,,,,,,,s_9,,7,,,15
,s_8,,,,,,,,s_9,,7,,,16
,s_8,,,,,,,,s_9,,17,,,
,s_8,,,,,,,,s_9,,18,,,
,,s_19,,s_10,s_11,,,,,,,,,
r_2,,r_2,s_12,r_2,r_2,s_13,,,,,,,,
r_3,,r_3,s_12,r_3,r_3,s_13,,,,,,,,
r_5,,r_5,r_5,r_5,r_5,r_5,,,,,,,,
r_6,,r_6,r_6,r_6,r_6,r_6,,,,,,,,
r_8,,r_8,r_8,r_8,r_8,r_8,,,,,,,,
,,,,,,,,,acc,,,,,
