#,(,),*,+,-,/,=,id,E,F,S,T
,,,,,,,,s_2,,,1,,
acc,,,,,,,,,,,,,
,,,,,,,s_3,,,,,,
,s_7,,,,,,,s_8,4,6,,5,
r_1,,,,s_9,s_10,,,,,,,,
r_4,,r_4,s_11,r_4,r_4,s_12,,,,,,,
r_7,,r_7,r_7,r_7,r_7,r_7,,,,,,,
,s_7,,,,,,,s_8,13,6,,5,
r_9,,r_9,r_9,r_9,r_9,r_9,,,,,,,
,s_7,,,,,,,s_8,,6,,14,
,s_7,,,,,,,s_8,,6,,15,
,s_7,,,,,,,s_8,,16,,,
,s_7,,,,,,,s_8,,17,,,
,,s_18,,s_9,s_10,,,,,,,,
r_2,,r_2,s_11,r_2,r_2,s_12,,,,,,,
r_3,,r_3,s_11,r_3,r_3,s_12,,,,,,,
r_5,,r_5,r_5,r_5,r_5,r_5,,,,,,,
r_6,,r_6,r_6,r_6,r_6,r_6,,,,,,,
r_8,,r_8,r_8,r_8,r_8,r_8,,,,,,,
