!,#,&&,(,),*,+,-,/,;,=,epsilon,else,id,if,relop,while,{,||,},E,F,G,M,N,P,S,T
,,,,,,,,,,,,,s_5,s_3,,s_2,,,,,,4,,,,1,
,acc,,,,,,,,,,,s_5,s_3,,s_2,,,,,,4,,,,6,,
,,,,,,,,,,,s_8,,,,,,,,,,,,7,,,,
,,,s_9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,s_10,,,,,,,,,,,,,,,,,
,,,,,,,,,,r_13,,,,,,,,,,,,,,,,,
,r_23,,,,,,,,,,,,r_23,r_23,,r_23,,,r_23,,,4,,,,6,
,,,s_11,,,,,,,,,,,,,,,,,,,,,,,,
r_21,,,r_21,,,,,,,,,,r_21,r_21,,r_21,,,,,,,,,,,
s_13,,,s_14,,,,,,,,,,s_16,,,,,,,15,18,,,,12,,17
s_13,,,s_20,,,,,,,,,,s_21,,,,,,,19,18,,,,22,,17
s_13,,,s_14,,,,,,,,,,s_16,,,,,,,15,18,,,,23,,17
,,s_26,,s_24,,,,,,,,,,,,,,s_25,,,,,,,,,
s_13,,,s_14,,,,,,,,,,s_16,,,,,,,15,18,,,,27,,17
s_13,,,s_14,,,,,,,,,,s_16,,,,,,,29,18,,,,28,,17
,,,,,,s_31,s_32,,,,,,,,s_30,,,,,,,,,,,,
,,r_20,,r_20,r_12,,,r_12,r_20,,,,,,r_12,,,r_20,,,,,,,,,
,,r_7,,r_7,s_33,r_7,r_7,s_34,r_7,,,,,,r_7,,,r_7,,,,,,,,,
,,r_10,,r_10,r_10,r_10,r_10,r_10,r_10,,,,,,r_10,,,r_10,,,,,,,,,
,,,,,,s_31,s_32,,s_35,,,,,,s_30,,,,,,,,,,,,
s_13,,,s_20,,,,,,,,,,s_21,,,,,,,36,18,,,,28,,17
,,r_20,,r_20,r_12,,,r_12,r_20,,,,,,,,,r_20,,,,,,,,,
,,s_26,,,,,,,s_37,,,,,,,,,s_25,,,,,,,,,
,,s_26,,s_38,,,,,,,,,,,,,,s_25,,,,,,,,,
,,,,,,,,,,,,,,,,,s_39,,,,,,,,,,
,,,,,,,,,,,s_8,,,,,,,,,,,,40,,,,
,,,,,,,,,,,s_8,,,,,,,,,,,,41,,,,
,,r_16,,r_16,,,,,r_16,,,,,,,,,r_16,,,,,,,,,
,,s_26,,s_42,,,,,,,,,,,,,,s_25,,,,,,,,,
,,,,s_43,,s_31,s_32,,,,,,,,s_30,,,,,,,,,,,,
,,,s_45,,,,,,,,,,s_46,,,,,,,44,18,,,,,,17
,,,s_45,,,,,,,,,,s_46,,,,,,,,18,,,,,,47
,,,s_45,,,,,,,,,,s_46,,,,,,,,18,,,,,,48
,,,s_45,,,,,,,,,,s_46,,,,,,,,49,,,,,,
,,,s_45,,,,,,,,,,s_46,,,,,,,,50,,,,,,
,r_4,,,,,,,,,,,,r_4,r_4,,r_4,,,r_4,,,,,,,,
,,,,s_43,,s_31,s_32,,,,,,,,s_30,,,,,,,,,,,,
,r_19,,,,,,,,,,,,r_19,r_19,,r_19,,,r_19,,,,,,,,
,,,,,,,,,,,,,,,,,s_51,,,,,,,,,,
,,,,,,,,,,,s_8,,,,,,,,,,,,52,,,,
s_13,,,s_14,,,,,,,,,,s_16,,,,,,,15,18,,,,53,,17
s_13,,,s_14,,,,,,,,,,s_16,,,,,,,15,18,,,,54,,17
,,r_17,,r_17,,,,,r_17,,,,,,,,,r_17,,,,,,,,,
,,r_11,,r_11,r_11,r_11,r_11,r_11,r_11,,,,,,r_11,,,r_11,,,,,,,,,
,,r_18,,r_18,,s_31,s_32,,r_18,,,,,,,,,r_18,,,,,,,,,
,,,s_45,,,,,,,,,,s_46,,,,,,,55,18,,,,,,17
,,r_12,,r_12,r_12,r_12,r_12,r_12,r_12,,,,,,r_12,,,r_12,,,,,,,,,
,,r_5,,r_5,s_33,r_5,r_5,s_34,r_5,,,,,,r_5,,,r_5,,,,,,,,,
,,r_6,,r_6,s_33,r_6,r_6,s_34,r_6,,,,,,r_6,,,r_6,,,,,,,,,
,,r_8,,r_8,r_8,r_8,r_8,r_8,r_8,,,,,,r_8,,,r_8,,,,,,,,,
,,r_9,,r_9,r_9,r_9,r_9,r_9,r_9,,,,,,r_9,,,r_9,,,,,,,,,
,,,,,,,,,,,s_8,,,,,,,,,,,,56,,,,
,,,,,,,,,,,,,s_5,s_3,,s_2,,,,,,4,,,,57,
,,r_14,,r_14,,,,,r_14,,,,,,,,,r_14,,,,,,,,,
,,r_15,,r_15,,,,,r_15,,,,,,,,,r_15,,,,,,,,,
,,,,s_43,,s_31,s_32,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,s_5,s_3,,s_2,,,,,,4,,,,58,
,,,,,,,,,,,,,s_5,s_3,,s_2,,,s_59,,,4,,,,6,
,,,,,,,,,,,,,s_5,s_3,,s_2,,,s_60,,,4,,,,6,
,r_2,,,,,,,,,,s_62,,r_2,r_2,,r_2,,,r_2,,,,,61,,,
,r_1,,,,,,,,,,,,r_1,r_1,,r_1,,,r_1,,,,,,,,
,,,,,,,,,,,,s_63,,,,,,,,,,,,,,,
,,,,,,,,,,,,r_22,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,s_64,,,,,,,,,,
,,,,,,,,,,,s_8,,,,,,,,,,,,65,,,,
,,,,,,,,,,,,,s_5,s_3,,s_2,,,,,,4,,,,66,
,,,,,,,,,,,,,s_5,s_3,,s_2,,,s_67,,,4,,,,6,
,r_3,,,,,,,,,,,,r_3,r_3,,r_3,,,r_3,,,,,,,,
